article_id,carrier,plan_bucket,plan_name,new_amount,mnp_amount,memo
324,hello,7GB,manual_image_confirmed,30000,120000,2025-07-03 1-2차 image: DATA 걱정없는/데이터 더주는 유심 7GB 내국인 010신규/MNP
324,hello,11GB,manual_image_confirmed,30000,120000,2025-07-03 1-2차 image: THE 착한 데이터/데이터 더주는 유심 11GB 내국인 010신규/MNP
324,ktm,7GB,manual_image_confirmed,50000,100000,2025-07-03 1-2차 image: M 스페셜 7GB 내국인 010신규/MNP
324,ktm,11GB,manual_image_confirmed,50000,110000,2025-07-03 1-2차 image: M 프리미엄 11GB 내국인 010신규/MNP
326,hello,7GB,manual_image_confirmed,30000,120000,2025-07-03 2차 image: DATA 걱정없는/데이터 더주는 유심 7GB 내국인 010신규/MNP
326,hello,11GB,manual_image_confirmed,30000,120000,2025-07-03 2차 image: THE 착한 데이터/데이터 더주는 유심 11GB 내국인 010신규/MNP
326,ktm,7GB,manual_image_confirmed,50000,100000,2025-07-03 2차 image: M 스페셜 7GB 내국인 010신규/MNP
326,ktm,11GB,manual_image_confirmed,50000,110000,2025-07-03 2차 image: M 프리미엄 11GB 내국인 010신규/MNP
327,hello,7GB,manual_image_confirmed,30000,120000,2025-07-04 3차 image: DATA 걱정없는/데이터 더주는 유심 7GB 내국인 010신규/MNP
327,hello,11GB,manual_image_confirmed,30000,120000,2025-07-04 3차 image: THE 착한 데이터/데이터 더주는 유심 11GB 내국인 010신규/MNP
335,ktm,7GB,manual_image_confirmed,70000,120000,2025-08-01 1차 image: M 스페셜 7GB 내국인 010신규/번호이동 직접
335,ktm,11GB,manual_image_confirmed,70000,130000,2025-08-01 1차 image: M 프리미엄 11GB 내국인 010신규/번호이동 직접
336,ktm,7GB,manual_image_confirmed,70000,120000,2025-08-02 2차 image: M 스페셜 7GB 내국인 010신규/번호이동 직접
336,ktm,11GB,manual_image_confirmed,70000,130000,2025-08-02 2차 image: M 프리미엄 11GB 내국인 010신규/번호이동 직접
339,ktm,7GB,manual_image_confirmed,70000,120000,2025-08-07 3차 image: M 스페셜 7GB 내국인 010신규/번호이동 직접
339,ktm,11GB,manual_image_confirmed,70000,130000,2025-08-07 3차 image: M 프리미엄 11GB 내국인 010신규/번호이동 직접
340,ktm,7GB,manual_image_confirmed,70000,120000,2025-08-13 4차 image: M 스페셜 7GB 내국인 010신규/번호이동 직접
340,ktm,11GB,manual_image_confirmed,70000,130000,2025-08-13 4차 image: M 프리미엄 11GB 내국인 010신규/번호이동 직접
341,ktm,7GB,manual_image_confirmed,70000,120000,2025-08-14 5차 image: M 스페셜 7GB 내국인 010신규/번호이동 직접
341,ktm,11GB,manual_image_confirmed,70000,130000,2025-08-14 5차 image: M 프리미엄 11GB 내국인 010신규/번호이동 직접
344,sk7,7GB,manual_image_confirmed,80000,150000,2025-08-21 7차 수정 image: LTE 알뜰 7GB+ 내국인 010신규/MNP
344,sk7,11GB,manual_image_confirmed,80000,160000,2025-08-21 7차 수정 image: LTE 알뜰 11GB+ 내국인 010신규/MNP
345,sk7,7GB,manual_image_confirmed,80000,150000,2025-08-22 8차 image: LTE 알뜰 7GB+ 내국인 010신규/MNP
345,sk7,11GB,manual_image_confirmed,80000,160000,2025-08-22 8차 image: LTE 알뜰 11GB+ 내국인 010신규/MNP
352,umobile,7GB,manual_image_confirmed,70000,100000,2025-09-04 3차 image: LTE 7GB+ / 이동의즐거움 K-패스 7GB+ 내국인 010신규/MNP
352,umobile,11GB,manual_image_confirmed,70000,110000,2025-09-04 3차 image: LTE 스페셜/이동의즐거움 11GB+ 계열 내국인 010신규/MNP
360,ktm,7GB,manual_image_confirmed,90000,160000,2025-09-19 8차 image: M 스페셜 7GB 플러스 내국인 010신규 캐치콜/번호이동 캐치콜
360,ktm,11GB,manual_image_confirmed,90000,170000,2025-09-19 8차 image: M 프리미엄 11GB 내국인 010신규 캐치콜/번호이동 캐치콜
361,ktm,7GB,manual_image_confirmed,90000,160000,2025-09-19 9차 image: M 스페셜 7GB 플러스 내국인 010신규 캐치콜/번호이동 캐치콜
361,ktm,11GB,manual_image_confirmed,90000,170000,2025-09-19 9차 image: M 프리미엄 11GB 내국인 010신규 캐치콜/번호이동 캐치콜
363,hello,7GB,manual_image_confirmed,30000,110000,2025-09-23 11차 image: DATA 걱정없는/데이터 더주는 유심 7GB 내국인 010신규/MNP
363,hello,11GB,manual_image_confirmed,30000,110000,2025-09-23 11차 image: THE 착한 데이터/데이터 더주는 유심 11GB 내국인 010신규/MNP
367,skylife,7GB,manual_image_confirmed,65000,180000,2025-09-30 15차 image: SKY 모두 충분 7GB+ 내국인 010신규/MNP
