write_date,article_id,subject,carrier,7GB_new,7GB_mnp,11GB_new,11GB_mnp,status,local_path
2025-02-19 10:29:27,278,케이엘모바일_부성정책_ 2월 19일_ 3-1차 정책,hello,30000,130000,30000,110000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/278/hello.jpg
2025-02-19 10:29:27,278,케이엘모바일_부성정책_ 2월 19일_ 3-1차 정책,ktm,40000,100000,40000,120000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/278/ktm.jpg
2025-02-19 10:29:27,278,케이엘모바일_부성정책_ 2월 19일_ 3-1차 정책,sk7,40000,120000,40000,140000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/278/sk7.jpg
2025-02-19 10:29:27,278,케이엘모바일_부성정책_ 2월 19일_ 3-1차 정책,skylife,,,45000,140000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/278/skylife.jpg
2025-02-19 10:29:27,278,케이엘모바일_부성정책_ 2월 19일_ 3-1차 정책,umobile,,,44000,143000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/278/umobile.jpg
2025-03-01 12:08:07,279,케이엘모바일_부성정책_ 3월 1일_1차 정책,hello,,,30000,110000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/279/hello.jpg
2025-03-01 12:08:07,279,케이엘모바일_부성정책_ 3월 1일_1차 정책,ktm,40000,90000,40000,110000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/279/ktm.jpg
2025-03-01 12:08:07,279,케이엘모바일_부성정책_ 3월 1일_1차 정책,sk7,50000,100000,50000,120000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/279/sk7.jpg
2025-03-01 12:08:07,279,케이엘모바일_부성정책_ 3월 1일_1차 정책,umobile,44000,99000,55000,121000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/279/umobile.jpg
2025-03-03 11:39:08,280,케이엘모바일_부성정책_ 3월 3일_1-1차 정책,hello,,,30000,110000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/280/hello.jpg
2025-03-03 11:39:08,280,케이엘모바일_부성정책_ 3월 3일_1-1차 정책,ktm,40000,90000,40000,110000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/280/ktm.jpg
2025-03-03 11:39:08,280,케이엘모바일_부성정책_ 3월 3일_1-1차 정책,skylife,45000,110000,45000,115000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/280/skylife.jpg
2025-03-03 11:39:08,280,케이엘모바일_부성정책_ 3월 3일_1-1차 정책,umobile,44000,99000,55000,121000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/280/umobile.jpg
2025-03-05 11:17:08,282,케이엘모바일_부성정책_ 3월 5일_1-2차 정책,hello,,,30000,110000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/282/hello.jpg
2025-03-05 11:17:08,282,케이엘모바일_부성정책_ 3월 5일_1-2차 정책,ktm,40000,90000,40000,110000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/282/ktm.jpg
2025-03-05 11:17:08,282,케이엘모바일_부성정책_ 3월 5일_1-2차 정책,skylife,45000,110000,45000,115000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/282/skylife.jpg
2025-03-05 11:17:08,282,케이엘모바일_부성정책_ 3월 5일_1-2차 정책,umobile,44000,99000,55000,121000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/282/umobile.jpg
2025-03-06 11:58:36,283,케이엘모바일_부성정책_ 3월 6일_1-3차 정책,hello,,,30000,110000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/283/hello.jpg
2025-03-06 11:58:36,283,케이엘모바일_부성정책_ 3월 6일_1-3차 정책,ktm,40000,90000,40000,110000,manual_fixed,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/283/ktm.jpg
2025-03-06 11:58:36,283,케이엘모바일_부성정책_ 3월 6일_1-3차 정책,skylife,45000,110000,45000,115000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/283/skylife.jpg
2025-03-06 11:58:36,283,케이엘모바일_부성정책_ 3월 6일_1-3차 정책,umobile,44000,99000,55000,121000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/283/umobile.jpg
2025-03-07 10:22:39,284,케이엘모바일_부성정책_ 3월 7일_1-4차 정책,hello,,,30000,110000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/284/hello.jpg
2025-03-07 10:22:39,284,케이엘모바일_부성정책_ 3월 7일_1-4차 정책,ktm,,,33500,40000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/284/ktm.jpg
2025-03-07 10:22:39,284,케이엘모바일_부성정책_ 3월 7일_1-4차 정책,skylife,45000,110000,45000,115000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/284/skylife.jpg
2025-03-07 10:22:39,284,케이엘모바일_부성정책_ 3월 7일_1-4차 정책,umobile,44000,99000,55000,121000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/284/umobile.jpg
2025-03-17 10:57:24,285,케이엘모바일_부성정책_ 3월 17일_1-5차 정책,hello,,,30000,110000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/285/hello.jpg
2025-03-17 10:57:24,285,케이엘모바일_부성정책_ 3월 17일_1-5차 정책,ktm,,,33500,40000,needs_review,/Users/jinwoo/Documents/Codex/2026-05-30/new-chat/policy-tracker/data/images/285/ktm.jpg
